Region,Region_name
111,הרי יהודה
112,שפלת יהודה
211,עמק חולה
212,גליל עליון מזרחי
213,אזור חצור
214,אזור גליל תחתון מרכזי
221,כנרות
222,גליל תחתון מזרחי
231,עמק בית שאן
232,עמק חרוד
233,רמת כוכב
234,עמק יזרעאל
235,אזור יקנעם
236,רמת מנשה
237,הרי נצרת-תירען
241,אזור שפרעם
242,אזור כרמיאל
243,אזור יחיעם
244,אזור אילון
245,אזור נהריה
246,אזור עכו
291,חרמון
292,גולן צפוני
293,גולן תיכוני
294,גולן דרומי
311,אזור חיפה
321,חוף הכרמל
322,אזור זכרון יעקב
323,הר אלכסנדר
324,אזור חדרה
411,מערב השרון
412,מזרח השרון
421,דרום השרון
422,אזור פתח תקווה
431,אזור מודיעין
432,אזור רמלה
441,אזור רחובות
442,אזור ראשון לציון
511,אזור תל אביב
512,אזור רמת גן
513,אזור חולון
611,אזור מלאכי
612,אזור לכיש
613,אזור אשדוד
614,אזור אשקלון
621,אזור גרר
622,אזור בשור
623,אזור באר שבע
624,אזור ים המלח
625,הערבה
626,הר הנגב הצפוני
627,הר הנגב הדרומי
11,ירושלים
21,צפת
22,כנרת
23,יזרעאל
24,עכו
25,יזרעאל
29,גולן
31,חיפה
32,חדרה
41,השרון
42,פתח תקווה
43,רמלה
44,רחובות
51,תל אביב
52,תל אביב
53,תל אביב
61,אשקלון
62,באר שבע
71,ג'נין
72,שכם
73,טול כרם
74,ראמאללה
75,ירדן (יריחו)
76,בית לחם
77,חברון
,